EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	10:56:35	0.1000	2.3825	2.3384	0.1036	0.1036	0.1036	0.1036
2	10:57:08	0.1000	2.3682	2.3888	0.0982	0.0982	0.0982	0.0982
3	10:57:38	0.1000	2.3640	2.3651	0.0978	0.0978	0.0978	0.0978
4	10:58:08	0.1000	2.3618	2.3253	0.0987	0.0987	0.0987	0.0987
5	10:58:39	0.1000	2.3586	2.3565	0.1013	0.1013	0.1013	0.1013
6	10:59:11	0.0500	2.3295	2.3122	0.1024	0.1024	0.1024	0.1024
7	10:59:45	0.0500	2.3278	2.3160	0.0980	0.0980	0.0980	0.0980
8	11:00:21	0.0500	2.3259	2.3221	0.0956	0.0956	0.0956	0.0956
9	11:00:59	0.0500	2.3241	2.3272	0.0980	0.0980	0.0980	0.0980
10	11:01:34	0.0250	2.3145	2.3065	0.1011	0.1011	0.1011	0.1011
EPOCH	TIMESTAMP	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	04:03:23	0.1000	2.3841	2.3785	0.0960	0.0960	0.0960	0.0960
2	04:03:54	0.1000	2.3669	2.3860	0.0991	0.0991	0.0991	0.0991
3	04:04:25	0.1000	2.3629	2.3534	0.0904	0.0904	0.0904	0.0904
4	04:04:55	0.1000	2.3610	2.3531	0.0889	0.0889	0.0889	0.0889
5	04:05:27	0.1000	2.3575	2.3545	0.1067	0.1067	0.1067	0.1067
6	04:06:00	0.1000	2.3567	2.3344	0.0933	0.0933	0.0933	0.0933
7	04:06:31	0.1000	2.3549	2.3332	0.0978	0.0978	0.0978	0.0978
8	04:07:04	0.1000	2.3540	2.3342	0.1024	0.1024	0.1024	0.1024
9	04:07:37	0.1000	2.3533	2.3379	0.1080	0.1080	0.1080	0.1080
10	04:08:12	0.1000	2.3502	2.3673	0.1064	0.1064	0.1064	0.1064
